Company,Location,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Year,Month,Day,latitude,longitude,Success,RocketFamily
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-10-04,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,Success,1957,10,4,45.92,63.34,1.0,Sputnik
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-11-03,02:30:00,Sputnik 8K71PS,Sputnik-2,Retired,Success,1957,11,3,45.92,63.34,1.0,Sputnik
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1957-12-06,16:44:00,Vanguard,Vanguard TV3,Retired,Failure,1957,12,6,28.449,-80.562,0.0,Vanguard
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-02-01,03:48:00,Juno I,Explorer 1,Retired,Success,1958,2,1,28.489,-80.578,1.0,Juno
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-02-05,07:33:00,Vanguard,Vanguard TV3BU,Retired,Failure,1958,2,5,28.449,-80.562,0.0,Vanguard
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-03-05,18:27:00,Juno I,Explorer 2,Retired,Failure,1958,3,5,28.489,-80.578,0.0,Juno
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-03-17,12:15:00,Vanguard,Vanguard 1,Retired,Success,1958,3,17,28.449,-80.562,1.0,Vanguard
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-03-26,17:38:00,Juno I,Explorer 3,Retired,Success,1958,3,26,28.448,-80.572,1.0,Juno
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-04-27,09:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,Failure,1958,4,27,45.92,63.34,0.0,Sputnik
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-04-28,02:53:00,Vanguard,Vanguard TV5,Retired,Failure,1958,4,28,28.449,-80.562,0.0,Vanguard
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-05-15,07:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,Success,1958,5,15,45.92,63.34,1.0,Sputnik
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-05-28,03:46:00,Vanguard,Vanguard SLV-1,Retired,Failure,1958,5,28,28.449,-80.562,0.0,Vanguard
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-06-26,05:00:00,Vanguard,Vanguard SLV-2,Retired,Failure,1958,6,26,28.449,-80.562,0.0,Vanguard
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-07-25,Unknown,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,Failure,1958,7,25,34.119,-119.119,0.0,Nots-ev-1
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-07-26,15:00:00,Juno I,Explorer 4,Retired,Success,1958,7,26,28.448,-80.572,1.0,Juno
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-12,Unknown,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,Failure,1958,8,12,34.119,-119.119,0.0,Nots-ev-1
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-08-17,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,Failure,1958,8,17,28.448,-80.566,0.0,Thor-dm
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-22,Unknown,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,Failure,1958,8,22,34.119,-119.119,0.0,Nots-ev-1
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-08-24,06:17:00,Juno I,Explorer 5,Retired,Failure,1958,8,24,28.448,-80.572,0.0,Juno
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-25,Unknown,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,Failure,1958,8,25,34.119,-119.119,0.0,Nots-ev-1
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-26,Unknown,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,Failure,1958,8,26,34.119,-119.119,0.0,Nots-ev-1
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-29,Unknown,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,Failure,1958,8,29,34.119,-119.119,0.0,Nots-ev-1
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-09-23,07:40:00,Vostok,E-1 nâ Â­1 (Luna-1),Retired,Failure,1958,9,23,45.92,63.34,0.0,Vostok
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-09-26,15:38:00,Vanguard,Vanguard SLV-3,Retired,Failure,1958,9,26,28.449,-80.562,0.0,Vanguard
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-10-11,08:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,Partial Failure,1958,10,11,28.448,-80.566,0.5,Thor-dm
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-10-11,21:41:00,Vostok,E-1 nâ Â­2 (Luna-1),Retired,Failure,1958,10,11,45.92,63.34,0.0,Vostok
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-10-23,03:21:00,Juno I,Beacon 1,Retired,Failure,1958,10,23,28.448,-80.572,0.0,Juno
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-11-08,07:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,Failure,1958,11,8,28.448,-80.566,0.0,Thor-dm
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-12-04,18:18:00,Vostok,E-1 nâ Â­3 (Luna-1),Retired,Failure,1958,12,4,45.92,63.34,0.0,Vostok
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-12-06,05:44:00,Juno II,Pioneer 3,Retired,Partial Failure,1958,12,6,28.448,-80.572,0.5,Juno
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",1958-12-18,23:02:00,SM-65B Atlas,SCORE,Retired,Success,1958,12,18,28.484,-80.547,1.0,Atlas
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-01-02,16:41:00,Vostok,Luna-1,Retired,Partial Failure,1959,1,2,45.92,63.34,0.5,Vostok
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-02-17,15:55:00,Vanguard,Vanguard 2,Retired,Success,1959,2,17,28.449,-80.562,1.0,Vanguard
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-02-28,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,Failure,1959,2,28,34.75,-120.6,0.0,Thor-dm18
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-04-13,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,Success,1959,4,13,34.75,-120.6,1.0,Thor-dm18
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-04-14,02:49:00,Vanguard,Vanguard SLV-5,Retired,Failure,1959,4,14,28.449,-80.562,0.0,Vanguard
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-06-03,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,Failure,1959,6,3,34.75,-120.6,0.0,Thor-dm18
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-06-18,08:08:00,Vostok,E-1A nâ Â­1 (Luna-2),Retired,Failure,1959,6,18,45.92,63.34,0.0,Vostok
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-06-22,20:16:00,Vanguard,Vanguard SLV-6,Retired,Failure,1959,6,22,28.449,-80.562,0.0,Vanguard
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-06-25,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,Failure,1959,6,25,34.75,-120.6,0.0,Thor-dm18
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1959-08-07,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,Success,1959,8,7,28.448,-80.566,1.0,Thor
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-08-13,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,Success,1959,8,13,34.75,-120.6,1.0,Thor-dm18
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-08-19,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,Success,1959,8,19,34.75,-120.6,1.0,Thor-dm18
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1959-09-09,08:19:00,Atlas-D Mercury,Big Joe 1,Retired,Partial Failure,1959,9,9,28.491,-80.556,0.5,Atlas
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-09-12,06:39:00,Vostok,Luna-2,Retired,Success,1959,9,12,45.92,63.34,1.0,Vostok
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1959-09-17,14:34:00,Thor DM-18 Able-II,Transit 1A,Retired,Failure,1959,9,17,28.448,-80.566,0.0,Thor
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-09-18,05:20:00,Vanguard,Vanguard 3,Retired,Partial Failure,1959,9,18,28.449,-80.562,0.5,Vanguard
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-10-04,00:43:00,Vostok,Luna-3,Retired,Success,1959,10,4,45.92,63.34,1.0,Vostok
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-11-07,20:28:00,Thor-DM18 Agena-A,Discoverer 7,Retired,Success,1959,11,7,34.75,-120.6,1.0,Thor-dm18
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-11-20,19:25:00,Thor-DM18 Agena-A,Discoverer 8,Retired,Failure,1959,11,20,34.75,-120.6,0.0,Thor-dm18
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1959-11-26,07:26:00,Atlas-D Able,Pioneer P-3,Retired,Failure,1959,11,26,28.491,-80.556,0.0,Atlas
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-02-04,18:51:00,Thor-DM18 Agena-A,Discoverer 9,Retired,Failure,1960,2,4,34.75,-120.6,0.0,Thor-dm18
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-02-19,20:15:00,Thor-DM18 Agena-A,Discoverer 10,Retired,Failure,1960,2,19,34.75,-120.6,0.0,Thor-dm18
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1960-02-26,17:25:00,Atlas-LV3 Agena-A,Midas 1,Retired,Failure,1960,2,26,28.491,-80.556,0.0,Atlas
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-03-11,13:00:00,Thor DM-18 Able-IV,Pioneer 5,Retired,Success,1960,3,11,28.448,-80.566,1.0,Thor
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-04-01,11:40:00,Thor DM-18 Able-II,TIROS-1,Retired,Success,1960,4,1,28.448,-80.566,1.0,Thor
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-04-13,12:02:00,Thor-DM21 Ablestar,Transit 1B,Retired,Success,1960,4,13,28.448,-80.565,1.0,Thor-dm21
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-04-15,15:06:00,Vostok,E-3 nâ Â­2 (Luna-3),Retired,Failure,1960,4,15,45.92,63.34,0.0,Vostok
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-04-15,20:30:00,Thor-DM18 Agena-A,Discoverer 11,Retired,Success,1960,4,15,34.75,-120.6,1.0,Thor-dm18
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-04-16,Unknown,Vostok,E-3 nâ Â­3 (Luna-3),Retired,Failure,1960,4,16,45.92,63.34,0.0,Vostok
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-05-13,09:16:00,Thor DM-19 Delta,Echo 1,Retired,Failure,1960,5,13,28.448,-80.566,0.0,Delta
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-05-15,00:00:00,Vostok,Korabl-Sputnik 1,Retired,Success,1960,5,15,45.92,63.34,1.0,Vostok
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1960-05-24,17:36:00,Atlas-LV3 Agena-A,Midas 2,Retired,Success,1960,5,24,28.491,-80.556,1.0,Atlas
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-06-22,05:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,Success,1960,6,22,28.448,-80.565,1.0,Thor-dm21
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-06-29,22:00:00,Thor-DM18 Agena-A,Discoverer 12,Retired,Failure,1960,6,29,34.75,-120.6,0.0,Thor-dm18
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-07-28,09:31:00,Vostok,1K nâ Â­2 (Korabl-Sputnik 2),Retired,Failure,1960,7,28,45.92,63.34,0.0,Vostok
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1960-07-29,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,Failure,1960,7,29,28.491,-80.556,0.0,Atlas
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-08-10,20:37:00,Thor-DM18 Agena-A,Discoverer 13,Retired,Success,1960,8,10,34.75,-120.6,1.0,Thor-dm18
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-08-12,09:39:00,Thor DM-19 Delta,Echo 1A,Retired,Success,1960,8,12,28.448,-80.566,1.0,Delta
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-08-18,19:57:00,Thor-DM18 Agena-A,Discoverer 14,Retired,Success,1960,8,18,34.75,-120.6,1.0,Thor-dm18
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-08-18,19:58:00,Thor-DM21 Ablestar,Courier 1A,Retired,Failure,1960,8,18,28.448,-80.565,0.0,Thor-dm21
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-08-19,08:44:00,Vostok,Korabl-Sputnik 2,Retired,Success,1960,8,19,45.92,63.34,1.0,Vostok
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-09-13,22:14:00,Thor-DM18 Agena-A,Discoverer 15,Retired,Success,1960,9,13,34.75,-120.6,1.0,Thor-dm18
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1960-09-25,15:13:00,Atlas-D Able,Pioneer P-30,Retired,Failure,1960,9,25,28.491,-80.582,0.0,Atlas
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-10-04,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,Success,1960,10,4,28.448,-80.565,1.0,Thor-dm21
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-10-10,14:27:00,Molniya,1M nâ Â­1 (Marsnik 1),Retired,Failure,1960,10,10,45.92,63.34,0.0,Molniya
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1960-10-11,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,Failure,1960,10,11,34.767,-120.59,0.0,Atlas
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-10-14,13:51:00,Molniya,1M nâ Â­2 (Marsnik 2),Retired,Failure,1960,10,14,45.92,63.34,0.0,Molniya
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-10-26,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,Failure,1960,10,26,34.75,-120.6,0.0,Thor
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-11-12,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,Success,1960,11,12,34.75,-120.6,1.0,Thor
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960-11-21,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,Failure,1960,11,21,28.448,-80.572,0.0,Mercury-redstone
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-11-23,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,Success,1960,11,23,28.448,-80.566,1.0,Delta
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-11-30,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,Failure,1960,11,30,28.448,-80.565,0.0,Thor-dm21
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-12-01,07:30:00,Vostok,Korabl-Sputnik 3,Retired,Success,1960,12,1,45.92,63.34,1.0,Vostok
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1960-12-04,21:14:00,Scout X-1,Explorer (S-56),Retired,Failure,1960,12,4,37.852,-75.485,0.0,Scout
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-12-07,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,Success,1960,12,7,34.75,-120.6,1.0,Thor
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1960-12-15,09:10:00,Atlas-D Able,Pioneer P-31,Retired,Failure,1960,12,15,28.491,-80.582,0.0,Atlas
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960-12-19,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,Success,1960,12,19,28.448,-80.572,1.0,Mercury-redstone
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-12-20,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,Success,1960,12,20,34.75,-120.6,1.0,Thor
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-12-22,07:45:00,Vostok,1K nâ Â­5 (Korabl-Sputnik 3),Retired,Failure,1960,12,22,45.92,63.34,0.0,Vostok
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-01-31,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,Success,1961,1,31,28.448,-80.572,1.0,Mercury-redstone
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-01-31,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,Success,1961,1,31,34.767,-120.59,1.0,Atlas
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-02-04,01:18:00,Molniya,1VA nâ Â­1 (Venera 1),Retired,Failure,1961,2,4,45.92,63.34,0.0,Molniya
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-02-12,00:34:00,Molniya,Venera 1,Retired,Success,1961,2,12,45.92,63.34,1.0,Molniya
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-02-16,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,Success,1961,2,16,37.852,-75.485,1.0,Scout
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-02-17,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,Success,1961,2,17,34.75,-120.6,1.0,Thor
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-02-18,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,Success,1961,2,18,34.75,-120.6,1.0,Thor
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-02-21,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,Success,1961,2,21,28.491,-80.556,1.0,Atlas
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-02-22,03:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,Success,1961,2,22,28.448,-80.565,1.0,Thor-dm21
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-03-09,06:29:00,Vostok,Korabl-Sputnik 4,Retired,Success,1961,3,9,45.92,63.34,1.0,Vostok
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-03-24,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,Success,1961,3,24,28.448,-80.572,1.0,Mercury-redstone
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-03-25,05:54:00,Vostok,Korabl-Sputnik 5,Retired,Success,1961,3,25,45.92,63.34,1.0,Vostok
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-03-25,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,Success,1961,3,25,28.448,-80.566,1.0,Delta
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-03-30,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,Failure,1961,3,30,34.75,-120.6,0.0,Thor
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-04-08,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,Success,1961,4,8,34.75,-120.6,1.0,Thor
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-04-12,06:07:00,Vostok,Vostok 1,Retired,Success,1961,4,12,45.92,63.34,1.0,Vostok
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-04-25,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,Failure,1961,4,25,28.491,-80.556,0.0,Atlas
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-05-05,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,Success,1961,5,5,28.448,-80.572,1.0,Mercury-redstone
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-06-08,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,Failure,1961,6,8,34.75,-120.6,0.0,Thor
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-06-16,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,Success,1961,6,16,34.75,-120.6,1.0,Thor
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-06-29,04:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,Success,1961,6,29,28.448,-80.565,1.0,Thor-dm21
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-06-30,17:09:00,Scout X-1,Explorer (S-55),Retired,Failure,1961,6,30,37.852,-75.485,0.0,Scout
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-07-07,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,Success,1961,7,7,34.75,-120.6,1.0,Thor
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-07-12,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,Success,1961,7,12,28.448,-80.566,1.0,Delta
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-07-12,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,Success,1961,7,12,34.767,-120.58,1.0,Atlas
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-07-21,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,Success,1961,7,21,28.448,-80.572,1.0,Mercury-redstone
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-07-21,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,Failure,1961,7,21,34.75,-120.6,0.0,Thor
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-08-04,00:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,Failure,1961,8,4,34.75,-120.6,0.0,Thor
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-08-06,06:00:00,Vostok,Vostok 2,Retired,Success,1961,8,6,45.92,63.34,1.0,Vostok
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-08-16,03:21:00,Thor DM-19 Delta,Explorer 12,Retired,Success,1961,8,16,28.448,-80.566,1.0,Delta
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1961-08-23,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,Failure,1961,8,23,28.491,-80.582,0.0,Atlas
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-08-25,18:29:00,Scout X-1,Explorer 13,Retired,Partial Failure,1961,8,25,37.852,-75.485,0.5,Scout
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-08-30,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,Success,1961,8,30,34.75,-120.6,1.0,Thor
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-09-09,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,Failure,1961,9,9,34.767,-120.59,0.0,Atlas
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-09-12,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,Success,1961,9,12,34.75,-120.6,1.0,Thor
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-09-13,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,Success,1961,9,13,28.491,-80.556,1.0,Atlas
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-09-17,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,Success,1961,9,17,34.75,-120.6,1.0,Thor
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-10-13,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,Success,1961,10,13,34.75,-120.6,1.0,Thor
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-10-21,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,Partial Failure,1961,10,21,34.767,-120.58,0.5,Atlas
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-10-23,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,Failure,1961,10,23,34.75,-120.6,0.0,Thor
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1961-10-27,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,Failure,1961,10,27,48.567,46.299,0.0,Cosmos-2i
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",1961-11-01,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,Failure,1961,11,1,28.449,-80.563,0.0,Blue
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-11-05,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,Failure,1961,11,5,34.75,-120.6,0.0,Thor
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-11-15,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,Success,1961,11,15,34.75,-120.6,1.0,Thor
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-11-15,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,Success,1961,11,15,28.448,-80.565,1.0,Thor-dm21
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1961-11-18,08:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,Failure,1961,11,18,28.491,-80.582,0.0,Atlas
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-11-22,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,Failure,1961,11,22,34.767,-120.59,0.0,Atlas
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-11-29,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,Success,1961,11,29,28.491,-80.556,1.0,Atlas
