Company,Location,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Year,Month,Day,latitude,longitude,Success,RocketFamily
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1988-12-28,05:27:00,Molniya-M /Block ML,Molniya-1 nâ Â­136,Retired,Success,1988,12,28,62.931,40.577,1.0,Molniya-m
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-01-27,01:21:00,Ariane 2,Intelsat-5A 15,Retired,Success,1989,1,27,5.239,-52.766,1.0,Ariane
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1989-02-10,15:13:00,Tsyklon-3,Kosmos 1994 to 1999,Retired,Success,1989,2,10,62.92,40.58,1.0,Tsyklon-3
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1989-02-14,04:21:00,Molniya-M /Block 2BL,Kosmos 2001,Retired,Success,1989,2,14,62.931,40.577,1.0,Molniya-m
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-02-14,18:30:00,Delta II 6925,NAVSTAR II-1 (USA 35),Retired,Success,1989,2,14,28.448,-80.566,1.0,Delta
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-02-14,Unknown,Cosmos-3M (11K65M),Kosmos 2002,Retired,Success,1989,2,14,62.93,40.57,1.0,Cosmos-3m
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1989-02-15,11:00:00,Molniya-M /Block ML,Molniya-1 nâ Â­137,Retired,Success,1989,2,15,45.92,63.34,1.0,Molniya-m
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1989-02-21,23:30:00,Mu-III S2,Akebono,Retired,Success,1989,2,21,31.25,131.08,1.0,Mu-iii
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-02-22,03:28:00,Cosmos-3M (11K65M),Kosmos 2004,Retired,Success,1989,2,22,62.93,40.57,1.0,Cosmos-3m
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-02-26,15:36:00,Cosmos-3M (11K65M),Kosmos 1992,Retired,Success,1989,2,26,62.93,40.57,1.0,Cosmos-3m
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-02-28,04:04:00,Tsyklon-3,Meteor-2 nâ Â­18,Retired,Success,1989,2,28,62.92,40.58,1.0,Tsyklon-3
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-03-06,23:29:00,Ariane 44LP,JCSAT-1 & Meteosat 4,Retired,Success,1989,3,6,5.25,-52.775,1.0,Ariane
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-03-13,14:57:00,Space Shuttle Discovery,STS-29R,Retired,Success,1989,3,13,28.627,-80.621,1.0,Space
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-03-24,13:38:00,Cosmos-3M (11K65M),Kosmos 2008 to 2015,Retired,Success,1989,3,24,62.93,40.57,1.0,Cosmos-3m
Douglas,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-03-24,21:50:00,Delta 3920-8,Delta Star (USA 36),Retired,Success,1989,3,24,28.448,-80.566,1.0,Delta
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-04-02,02:28:00,Ariane 2,TELE-X,Retired,Success,1989,4,2,5.239,-52.766,1.0,Ariane
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-04-04,18:36:00,Cosmos-3M (11K65M),Kosmos 2016,Retired,Success,1989,4,4,62.93,40.57,1.0,Cosmos-3m
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-05-04,18:46:00,Space Shuttle Atlantis,STS-30R,Retired,Success,1989,5,4,28.627,-80.621,1.0,Space
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1989-05-10,19:47:00,Titan 34D,USA-37 (Vortex),Retired,Success,1989,5,10,28.562,-80.577,1.0,Titan
ISRO,"SLV LP, Satish Dhawan Space Centre, India",1989-05-22,01:40:00,ASLV,SROSS C,Retired,Partial Failure,1989,5,22,13.733,80.235,0.5,Aslv
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-06-05,22:37:00,Ariane 44L,"Superbird-A, DFS-1",Retired,Success,1989,6,5,5.25,-52.775,1.0,Ariane
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-06-07,05:12:00,Cosmos-3M (11K65M),Kosmos 2026,Retired,Success,1989,6,7,62.93,40.57,1.0,Cosmos-3m
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1989-06-08,17:09:00,Molniya-M /Block ML,Molniya-3 nâ Â­138,Retired,Success,1989,6,8,62.931,40.577,1.0,Molniya-m
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-06-09,10:10:00,Tsyklon-3,Okean 2a,Retired,Failure,1989,6,9,62.92,40.58,0.0,Tsyklon-3
